rank,noun,adj,count
0,sauce,hot,14
1,food,good,10
2,sauce,white,10
3,portion,huge,9
4,time,first,7
5,food,amazing,6
6,food,best,5
7,food,ready,5
8,it,busy,4
9,price,reasonable,4
10,food,great,4
11,medium,rare,3
12,place,other,3
13,food,delicious,3
14,restaurant,other,3
15,wait,long,3
16,portion,big,3
17,day,next,3
18,food,afghan,3
19,place,busy,3
20,time,few,3
21,restaurant,halal,3
22,its,dry,2
23,place,best,2
24,place,nice,2
25,staff,friendly,2
26,place,great,2
27,hour,peak,2
28,visit,next,2
29,it,ready,2
30,I,impressed,2
31,nothing,special,2
32,Food,great,2
33,item,other,2
34,option,veggie,2
35,meat,good,2
36,dish,main,2
37,time,next,2
38,part,worst,2
39,they,busy,2
40,thing,same,2
41,hand,bare,2
42,type,different,2
43,cashier,friendly,2
44,it,totally worth,2
45,wait,totally worth,2
46,quality food,good,2
47,it,very busy,2
48,flavour,good,2
49,item,not available,2
50,half,not available,2
51,pickings,slim,2
52,food place,fast,2
53,time,long,2
54,price,decent,2
55,plate,full,2
56,staff,front,2
57,mignon,filet,2
58,rice,fragrant,2
59,salad,fresh,2
60,meal,full,2
61,table,many,2
62,experience,good,2
63,sauce,amazing,2
64,seat,own,2
65,customer service,terrible,2
66,time,last,2
67,salad,plain,2
68,restaurant,afghani,2
69,people,only,2
70,bread,fresh,2
71,decor,nice,2
72,portion,good,2
73,lineup,busy,2
74,trip,second,2
75,evening,usually very busy,2
76,food,very delicious,2
77,taste,great,2
78,my,favourite,2
79,sauce,extra,2
80,day,busy,2
81,restaurant,big,2
82,drink,free,2
83,staff,counter,2
84,food,halal,2
85,minute,few,1
86,place,still open,1
87,kind,still open,1
88,bolanus,undercooked,1
89,bolanus,fill,1
90,bolanus,worst,1
91,box,less,1
92,consist,less,1
93,end,less,1
94,quantity,equal,1
95,throat burning sauce,super,1
96,throat burning sauce,spicy,1
97,lady,other,1
98,experience,recent,1
99,week,last,1
100,it,average,1
101,yogurt salad,average,1
102,salad,green,1
103,temperature,wrong,1
104,chop,second,1
105,they,medium,1
106,they,too hard,1
107,medium,medium,1
108,medium,too hard,1
109,its,awful,1
110,location,new,1
111,it,spicy,1
112,it,really really tasty,1
113,occasion,numerous,1
114,year,past,1
115,I,not wrong,1
116,pm,perfect,1
117,chandelier,fancy,1
118,picture,great,1
119,image,great,1
120,seat,foward,1
121,staff,accommodate,1
122,kebab,sultani,1
123,Kandahar Kebab,sultani,1
124,spicy sauce,little,1
125,spicy sauce,orange,1
126,yum,good,1
127,place,soon busy,1
128,place,pack,1
129,kabob place,best,1
130,it,so worth,1
131,wait,so worth,1
132,beef kabob,great,1
133,rice,tasty,1
134,juicy,huge,1
135,value,much better,1
136,food,very similar,1
137,style,very similar,1
138,style,similar,1
139,fill sauce,creamy,1
140,sauce,absolutely delicious,1
141,rice,very similar,1
142,basmatus,brown,1
143,basmatus,long,1
144,way,nice,1
145,doll sauce,creamy,1
146,sauce,also really tasty,1
147,flavour,so much,1
148,it,actually spicy,1
149,sauce,actually spicy,1
150,naan,also good,1
151,veggie kabab,nice,1
152,spice,few,1
153,option,great,1
154,it,present,1
155,dish,few,1
156,dish,indian,1
157,dish,present,1
158,portion,massive,1
159,price,massive,1
160,quality,massive,1
161,day,2nd,1
162,rice,too much,1
163,it,disproportionate,1
164,food,better,1
165,Bamyan,better,1
166,Naan/Kabab,better,1
167,atmosphere,very noisy,1
168,people,so many,1
169,restaurant,only,1
170,place,pretty similar,1
171,fountain,huge,1
172,fixture,huge,1
173,restaurant,huge,1
174,restaurant,decorate,1
175,Bamiyan,also similar,1
176,order,ready,1
177,microphone,ready,1
178,bit,long,1
179,sauce,yogurt-like,1
180,Rice,great,1
181,naan,warm,1
182,tomato,sliced,1
183,chicken kabob,delicious,1
184,chicken kofta,also good,1
185,mix,interesting,1
186,restaurant,areal,1
187,environment,areal,1
188,self-service,mcdonald-style,1
189,meat,well-marinaded,1
190,food court fare,above-average,1
191,section,special,1
192,option,available,1
193,menu,available,1
194,option,other,1
195,bucket,water/liquid,1
196,service,poor,1
197,place,messy,1
198,kabob odor,harsh,1
199,idea,amazing,1
200,food,fresh,1
201,food,flavourful,1
202,spicy,fresh,1
203,spicy,flavourful,1
204,meat,white,1
205,sauce,delicious,1
206,spicy,delicious,1
207,it,too good,1
208,pricing,expensive,1
209,pillar,nice,1
210,lighting,nice,1
211,step,nice,1
212,restaurant,old,1
213,kabob,kandahar,1
214,min,ready,1
215,cashier,ready,1
216,nothing,great,1
217,nothing,not even decent,1
218,kabob,dry,1
219,rice,very little,1
220,bread,despicable,1
221,restaurant,afghan,1
222,one,so many,1
223,one,good,1
224,flavour,excellent,1
225,value,great,1
226,we,big,1
227,kabob meal,big,1
228,House,special,1
229,vegetable,grilled,1
230,challenge,big,1
231,challenge,busy,1
232,meal,worth,1
233,it,worth,1
234,place,horrible,1
235,food,dry,1
236,it,sooo hot,1
237,experience,terrible,1
238,quality,not good,1
239,time,2nd,1
240,time,shorter,1
241,food,pretty good,1
242,service,horrendous,1
243,who,completely clueless,1
244,server,completely clueless,1
245,cashier,completely clueless,1
246,themselves,confused,1
247,no-no,big,1
248,time,several,1
249,finger,same,1
250,food cleanliness,basic,1
251,people,basic,1
252,food,nasty,1
253,food,not great,1
