rank,word,count
1,place,9408
2,food,8732
3,good,8056
4,veri,6825
5,time,6589
6,get,6390
7,servic,6338
8,great,6328
9,like,6231
10,order,6153
11,go,5994
12,one,5278
13,would,5169
14,back,4744
15,friend,3982
16,tri,3977
17,come,3784
18,realli,3731
19,also,3333
20,love,3297
21,onli,3181
22,got,3171
23,even,3164
24,becaus,3097
25,price,2962
26,look,2936
27,us,2926
28,want,2921
29,make,2918
30,nice,2911
31,restaur,2894
32,could,2815
33,wait,2701
34,came,2614
35,best,2610
36,alway,2593
37,chicken,2529
38,ask,2526
39,staff,2513
40,well,2496
41,never,2356
42,first,2334
43,day,2263
44,went,2218
45,littl,2196
46,take,2149
47,definit,2147
48,work,2133
49,fri,2113
50,eat,2112
51,much,2112
52,tast,2111
53,peopl,2108
54,recommend,2078
55,drink,2071
56,say,2058
57,need,2047
58,thing,2043
59,experi,2032
60,know,2017
61,tabl,2011
62,call,2000
63,give,1963
64,custom,1961
65,menu,1932
66,pretti,1932
67,sauc,1929
68,delici,1927
69,better,1920
70,made,1907
71,said,1867
72,locat,1849
73,amaz,1828
74,lot,1741
75,two,1711
76,ani,1707
77,way,1688
78,bar,1679
79,fresh,1674
80,befor,1667
81,minut,1656
82,clean,1641
83,use,1640
84,still,1633
85,busi,1633
86,night,1630
87,new,1601
88,pizza,1592
89,right,1590
90,see,1588
91,think,1587
92,ever,1585
93,2,1576
94,car,1572
95,dish,1564
96,feel,1515
97,chees,1508
98,bad,1494
99,help,1492
100,area,1492
101,told,1474
102,sure,1473
103,year,1472
104,review,1452
105,sandwich,1449
106,side,1447
107,everyth,1443
108,star,1436
109,around,1421
110,sinc,1420
111,meal,1405
112,manag,1403
113,hour,1380
114,visit,1360
115,anoth,1355
116,bit,1352
117,top,1349
118,room,1348
119,took,1344
120,next,1343
121,small,1327
122,lunch,1319
123,seem,1318
124,flavor,1313
125,everi,1304
126,burger,1301
127,serv,1300
128,meat,1296
129,enjoy,1295
130,last,1283
131,salad,1274
132,quick,1271
133,mani,1267
134,high,1263
135,home,1247
136,walk,1237
137,beef,1225
138,find,1224
139,check,1221
140,hot,1219
141,seat,1217
142,special,1208
143,qualiti,1206
144,3,1201
145,perfect,1199
146,rice,1172
147,roll,1162
148,long,1160
149,cook,1156
150,end,1152
151,super,1140
152,server,1136
153,disappoint,1124
154,5,1122
155,though,1117
156,someth,1109
157,reason,1108
158,care,1107
159,offer,1103
160,doe,1097
161,person,1092
162,noth,1087
163,expect,1080
164,happi,1071
165,differ,1070
166,thank,1066
167,open,1063
168,sushi,1060
169,week,1057
170,big,1055
171,portion,1034
172,enough,1029
173,soup,1024
174,option,1020
175,start,1010
176,dinner,1005
177,'d,1005
178,bread,1001
179,hous,999
180,breakfast,998
181,awesom,994
182,worth,990
183,beer,985
184,pay,976
185,done,974
186,put,968
187,guy,966
188,close,962
189,away,945
190,decid,936
191,stop,930
192,excel,928
193,howev,924
194,stay,923
195,favorit,922
196,actual,920
197,larg,920
198,let,916
199,steak,913
200,famili,912
201,left,905
202,usual,902
203,free,889
204,sweet,887
205,kind,883
206,found,882
207,overal,880
208,waitress,876
209,quit,862
210,full,861
211,fast,848
212,item,847
213,4,847
214,spot,834
215,whi,832
216,tasti,831
217,water,831
218,tell,829
219,10,825
220,onc,821
221,huge,821
222,pork,815
223,select,814
224,gave,812
225,return,811
226,chang,808
227,anyth,807
228,thought,801
229,shop,798
230,coffe,796
231,dog,793
232,everyon,791
233,probabl,782
234,live,781
235,show,772
236,sit,771
237,--,762
238,atmospher,749
239,charg,749
240,without,749
241,wing,748
242,park,742
243,move,742
244,waffl,734
245,bowl,728
246,front,728
247,mayb,728
248,egg,727
249,size,727
250,spici,726
251,decent,723
252,plate,722
253,ok,721
254,insid,720
255,month,719
256,shrimp,717
257,hand,716
258,leav,715
259,keep,714
260,job,714
261,ice,704
262,taco,703
263,owner,700
264,vega,699
265,1,694
266,els,694
267,nail,694
268,today,693
269,store,691
270,final,688
271,old,686
272,hard,685
273,hotel,681
274,money,679
275,chines,678
276,absolut,674
277,grill,673
278,regular,673
279,far,669
280,deal,667
281,extra,662
282,husband,662
283,problem,660
284,point,660
285,coupl,656
286,door,655
287,dure,652
288,kid,651
289,half,647
290,arriv,642
291,wonder,640
292,second,637
293,talk,635
294,bill,634
295,cream,633
296,part,631
297,fill,629
298,almost,625
299,bring,624
300,cold,623
301,surpris,622
302,felt,619
303,attent,615
304,extrem,612
305,least,610
306,fish,609
307,whole,605
308,noodl,603
309,run,599
310,choic,598
311,impress,598
312,later,596
313,dri,594
314,issu,594
315,someon,593
316,hair,589
317,pick,588
318,group,586
319,wrong,584
320,hope,583
321,especi,583
322,includ,581
323,drive,575
324,less,570
325,abl,566
326,decor,566
327,bbq,565
328,name,562
329,must,554
330,receiv,553
331,cheap,553
332,tip,549
333,line,549
334,complet,547
335,pool,540
336,appoint,537
337,fun,534
338,style,532
339,wife,532
340,may,529
341,comfort,527
342,town,526
343,dine,524
344,20,521
345,instead,520
346,potato,513
347,worst,512
348,wish,511
349,flavour,509
350,compani,509
351,slice,509
352,sever,509
353,finish,507
354,total,506
355,fix,505
356,buy,503
357,anyon,503
358,girl,502
359,cut,501
360,happen,500
361,outsid,500
362,tea,499
363,either,499
364,dr.,496
365,light,494
366,phone,491
367,piec,489
368,parti,488
369,brought,487
370,turn,483
371,rude,481
372,cool,477
373,fantast,476
374,employe,473
375,local,470
376,three,470
377,watch,470
378,pleas,468
379,late,466
380,ago,466
381,profession,465
382,15,464
383,pho,463
384,share,463
385,fine,463
386,real,459
387,horribl,458
388,ladi,457
389,honest,457
390,wash,457
391,korean,455
392,set,455
393,6,454
394,miss,448
395,waiter,447
396,notic,447
397,offic,446
398,oh,445
399,varieti,445
400,alreadi,442
401,amount,442
402,yelp,438
403,paid,437
404,dessert,437
405,morn,437
406,green,436
407,fair,435
408,okay,434
409,type,433
410,game,433
411,treat,432
412,saw,431
413,understand,431
414,terribl,430
415,veggi,429
416,fan,429
417,onion,427
418,plus,427
419,mind,427
420,tire,427
421,street,426
422,beauti,426
423,mean,425
424,dumpl,424
425,play,422
426,eye,421
427,add,421
428,appet,419
429,counter,419
430,explain,418
431,near,417
432,given,417
433,read,417
434,music,415
435,entir,415
436,mix,415
437,salon,415
438,sat,414
439,provid,413
440,massag,412
441,averag,410
442,except,409
443,although,409
444,red,406
445,might,406
446,30,402
447,yes,402
448,floor,401
449,warm,401
450,yet,400
451,bean,398
452,chip,398
453,clear,397
454,cours,397
455,soon,396
456,readi,396
457,fact,394
458,list,394
459,kitchen,392
460,cost,391
461,crispi,391
462,saturday,391
463,suggest,387
464,basic,387
465,bite,385
466,short,383
467,often,383
468,ingredi,383
469,expens,382
470,oil,379
471,greet,378
472,rate,377
473,consist,377
474,etc,375
475,slow,375
476,min,374
477,season,373
478,guess,372
479,life,372
480,white,371
481,pedicur,370
482,ad,369
483,rememb,368
484,card,368
485,wine,368
486,recent,367
487,mention,364
488,buffet,363
489,crowd,363
490,past,361
491,pack,361
492,typic,360
493,pleasant,358
494,pretzel,357
495,pull,356
496,poor,356
497,believ,356
498,consid,355
499,purchas,355
500,friday,355
501,burrito,355
502,plenti,354
503,easi,354
504,seen,353
505,glass,352
506,tender,352
507,bacon,351
508,head,350
509,trip,350
510,lack,350
511,question,349
512,main,349
513,number,349
514,base,349
515,pancak,348
516,kept,347
517,tomato,346
518,relax,344
519,authent,344
520,reserv,343
521,prepar,343
522,rest,343
523,sunday,342
524,stuff,342
525,rather,342
526,weekend,341
527,compar,341
528,sign,340
529,serious,339
530,garlic,339
531,twice,338
532,space,338
533,glad,338
534,poutin,338
535,avail,337
536,normal,337
537,simpl,337
538,choos,334
539,ate,333
540,rang,332
541,smell,331
542,yummi,331
543,rib,330
544,pepper,329
545,hit,328
546,exact,327
547,bartend,327
548,heard,324
549,plan,324
550,strip,322
551,welcom,322
552,color,321
553,immedi,320
554,addit,318
555,stand,315
556,knew,314
557,appreci,313
558,inform,313
559,cup,313
560,request,312
561,salsa,312
562,thin,310
563,sometim,310
564,product,309
565,interest,308
566,box,308
567,grab,308
568,sausag,308
569,anyway,307
570,knowledg,306
571,7,305
572,man,305
573,unfortun,304
574,note,303
575,within,301
576,incred,301
577,crust,300
578,pasta,299
579,veget,298
580,soft,298
581,gone,298
582,taken,295
583,crave,295
584,certain,294
585,bland,293
586,chocol,292
587,along,291
588,cover,290
589,mexican,290
590,togeth,287
591,liter,286
592,earli,285
593,replac,285
594,longer,285
595,pass,285
596,empti,285
597,dollar,284
598,across,283
599,standard,283
600,wall,282
601,follow,281
602,chair,281
603,complaint,280
604,book,280
605,pain,280
606,cafe,280
607,behind,279
608,state,279
609,salmon,278
610,rush,278
611,citi,278
612,deliveri,278
613,joint,277
614,due,277
615,general,276
616,desk,276
617,prefer,276
618,deliv,276
619,dress,275
620,chef,275
621,excit,275
622,drop,274
623,toast,274
624,daughter,274
625,birthday,273
626,repair,272
627,continu,271
628,wrap,270
629,brown,270
630,dip,270
631,window,270
632,mac,269
633,8,269
634,possibl,269
635,ayc,268
636,bottl,267
637,suppos,266
638,answer,265
639,truck,265
640,process,265
641,boyfriend,264
642,satisfi,264
643,valu,264
644,wow,263
645,spend,263
646,dirti,263
647,sour,263
648,vietnames,262
649,middl,261
650,vegetarian,261
651,write,261
652,forward,260
653,pictur,258
654,spice,257
655,complain,257
656,refil,256
657,bun,256
658,date,255
659,face,252
660,save,252
661,five,251
662,four,251
663,butter,250
664,fruit,250
665,pickl,250
666,low,250
667,speak,249
668,accommod,249
669,sad,249
670,thick,249
671,salti,248
672,rare,246
673,updat,245
674,hungri,244
675,apolog,244
676,juici,244
677,sorri,242
