rank,word,frequency
1,good,1567
2,other,569
3,great,537
4,nice,485
5,more,415
6,better,372
7,small,292
8,bad,271
9,decent,259
10,few,250
11,ok,242
12,friendly,236
13,hot,226
14,first,225
15,best,220
16,overall,213
17,little,212
18,fresh,197
19,large,185
20,special,178
21,clean,173
22,big,170
23,next,160
24,same,158
25,many,158
26,busy,156
27,much,155
28,delicious,151
29,sweet,147
30,okay,145
31,fried,142
32,tasty,141
33,different,136
34,most,135
35,only,133
36,sure,130
37,last,126
38,new,125
39,worth,121
40,average,119
41,quick,116
42,cheap,116
43,huge,113
44,fine,112
45,spicy,110
46,cold,109
47,full,103
48,amazing,102
49,chinese,102
50,free,101
51,dry,100
52,regular,95
53,fast,93
54,hard,93
55,long,91
56,least,90
57,own,90
58,happy,86
59,wrong,86
60,expensive,86
61,super,83
62,extra,83
63,korean,83
64,old,83
65,high,82
66,less,77
67,whole,77
68,typical,75
69,close,73
70,bland,73
71,second,71
72,crispy,71
73,slow,71
74,thin,69
75,excellent,64
76,awesome,64
77,fun,62
78,several,61
79,cool,60
80,standard,60
81,salty,58
82,able,58
83,short,58
84,late,58
85,white,56
86,tender,56
87,soft,55
88,grilled,55
89,main,54
90,favorite,54
91,attentive,52
92,due,52
93,right,52
94,green,52
95,pricey,52
96,real,51
97,reasonable,50
98,open,50
99,hungry,49
100,perfect,49
101,vietnamese,49
102,ready,47
103,empty,46
104,easy,44
105,similar,44
106,thick,44
107,red,43
108,simple,42
109,weird,42
110,loud,42
111,solid,42
112,fair,41
113,dirty,41
114,available,41
115,enough,40
116,interesting,40
117,mediocre,40
118,alright,39
119,black,39
120,mexican,39
121,warm,38
122,authentic,38
123,poor,37
124,longer,36
125,italian,35
126,juicy,35
127,flavorful,35
128,tough,35
129,helpful,35
130,french,35
131,traditional,35
132,usual,34
133,medium,34
134,yummy,34
135,higher,34
136,local,34
137,rude,34
138,greasy,33
139,bigger,33
140,vegetarian,33
141,quiet,32
142,beautiful,32
143,half,32
144,horrible,32
145,disappointing,32
146,cute,32
147,deep,31
148,pleasant,31
149,dark,31
150,likely,31
