rank,noun,adj,count
0,bean,red,8
1,dessert,vietnamese,7
2,tapioca,red,7
3,drink,other,5
4,time,next,5
5,coffee,vietnamese,5
6,time,few,4
7,door,next,4
8,my,favorite,4
9,amount,right,4
10,time,first,4
11,it,refreshing,4
12,trio,awesome,4
13,I,so glad,3
14,milk tea,black,3
15,place,new,3
16,service,good,3
17,coconut,fresh,3
18,staff,friendly,3
19,fruit,real,3
20,table,small,3
21,Bambu,special,3
22,it,good,3
23,drink,refreshing,3
24,place,awesome,3
25,it,nice,2
26,fan,huge,2
27,service,great,2
28,week,few,2
29,it,tasty,2
30,I,so excited,2
31,dog,due,2
32,drink,good,2
33,something,sweet,2
34,thing,good,2
35,it,not too sweet,2
36,customer,unhappy,2
37,it,extremely sweet,2
38,it,soft,2
39,type,different,2
40,spot,new,2
41,dairy,free,2
42,time,long,2
43,coconut juice,fresh,2
44,I,not sure,2
45,it,hard,2
46,place,clean,2
47,drink,same,2
48,taro,red,2
49,drink,favorite,2
50,I,fine,2
51,place,only,2
52,fan,big,2
53,ingredient,fresh,2
54,opening,soft,2
55,tea,green,2
56,time,second,2
57,enjoy,second,2
58,kid,good,2
59,bathroom,public,2
60,seating,public,2
61,they,delicious,2
62,atmosphere,clean,2
63,I,excited,2
64,place,cute,2
65,I,sure,2
66,I,weird,2
67,place,great,2
68,cool,super,2
69,my,good,2
70,drink,=,2
71,jelly,green,2
72,bean,white,2
73,it,not bad,2
74,opening,grand,2
75,jelly,various,2
76,coconut milk,dessert-like,2
77,location,other,2
78,location,different,2
79,thing,only,2
80,bean,mung,2
81,customer,1st,2
82,place,located,1
83,fact,located,1
84,staff,very helpful,1
85,dessert,other,1
86,transplant,nice,1
87,face,familiar,1
88,land,boba-deficient,1
89,milk tea,green,1
90,part,favorite,1
91,crystal boba,comparable,1
92,alternative,crunchier,1
93,alternative,seaweed-based,1
94,Quality,traditional,1
95,Quality,tapioca-based,1
96,experience,comparable,1
97,handed,heavy,1
98,time,past,1
99,ice,less,1
100,drink quality,reliable,1
101,I,younger,1
102,dessert,sweet,1
103,she,too tired,1
104,she,busy,1
105,it,perfect,1
106,sweetness level,perfect,1
107,factor,different,1
108,complement,other,1
109,complement,not too sweet,1
110,complement,overbearing,1
111,drink,not impressed,1
112,girl,really friendly,1
113,girl,do,1
114,it,frequent,1
115,treat,little,1
116,impress,few,1
117,I,disappointed,1
118,bit,disappointed,1
119,flavor,not much,1
120,anything,not much,1
121,goodness,treatishly,1
122,environment,clean,1
123,che place,favorite,1
124,che place,vietnamese,1
125,one,only,1
126,hide,only,1
127,it,great,1
128,picture menu wall,large,1
129,combination,creative,1
130,combination,colorful,1
131,have,too sweet,1
132,taste,too sweet,1
133,tooth,pretty sweet,1
134,drink,as good,1
135,one,as good,1
136,time,less sweet,1
137,trip,cali,1
138,staff,extremely friendly,1
139,staff,awesome,1
140,tea,blended,1
141,addition,great,1
142,part,asian,1
143,spot,cute,1
144,spot,little,1
145,star,good,1
146,pandan waffle,delicious,1
147,smell,off,1
148,I,quite full,1
149,time,quite full,1
150,something,cold,1
151,yelper,fellow,1
152,bean drink,red,1
153,I,quite happy,1
154,it,well balanced,1
155,they,located,1
156,door,located,1
157,something,refreshing,1
158,shopping,refreshing,1
159,choice,excellent,1
160,drink,not so pleasant,1
161,experience,not so pleasant,1
162,girl,different,1
163,beanie,net,1
164,cap,net,1
165,I,very disgusted,1
166,experience,very disgusted,1
167,shopper,frequent,1
168,today,very disappointed,1
169,I,ecstatic,1
170,soursop smoothie,delicious,1
171,lady,very friendly,1
172,lady,welcoming,1
173,area,very unique,1
174,flavor,asian,1
175,audience,broader,1
176,appeal,sweet,1
177,walk,much,1
178,traffic,much,1
179,seat,cozy,1
180,wifus,cozy,1
181,Che Ba Mau,such,1
182,dam,such,1
183,dessert,not overly sweet,1
184,syrup,simple,1
185,portion,generous,1
186,bit,generous,1
187,side,pricey,1
188,dessert,very pleased,1
189,bunch,whole,1
190,tapioca,green,1
191,jelly,black,1
192,coconut milk,black,1
193,che,vietnamese,1
194,coconut shake,average,1
195,lady,very nice,1
196,lady,sweet,1
197,time,here several,1
198,I,here several,1
199,dessert,favorite,1
200,hand,other,1
201,price,hefty,1
202,price,relative,1
203,price,usual,1
204,portion size,sizeable,1
205,portion size,share,1
206,place,other,1
207,average,above,1
208,time,very disappointed,1
209,taste,very disappointed,1
210,taste,few,1
211,coconut juice,real,1
212,sweetener,overpriced,1
213,book,overpriced,1
214,drink,delicious,1
215,you,adventurous,1
216,anything,crazy,1
217,something,new,1
218,review,low,1
219,drink,asian,1
220,drink,most popular,1
221,woman,sweetest,1
222,woman,deserve,1
223,drink,too sweet,1
224,drink,really difficult,1
225,coffee,blended,1
226,kick,big,1
227,Service,friendly,1
228,place,immaculate,1
229,chè,awesome,1
230,drink,vietnamese,1
231,it,free,1
232,lychee,fresh,1
233,night,here last,1
234,today,here last,1
235,sugar,enough,1
236,yelper,happy,1
237,woman,also friendly,1
238,woman,have,1
239,customer service,good,1
240,anything,not bad,1
241,anything,spectacular,1
242,anything,out,1
243,world,spectacular,1
244,world,out,1
245,item,second,1
246,coffee,french,1
247,coffee,iced,1
248,flavor,creamy,1
249,cup cost,small,1
250,chè,other,1
251,dessert che,vietnamese,1
252,gummy,colorful,1
253,gummy,squishy,1
254,texture,different,1
255,coconut milk,crushed,1
256,coconut milk,iced,1
257,coconut milk,creamy,1
258,fruit addict,hard,1
259,coconut,real,1
260,jackfruit,real,1
261,lychee,real,1
262,jelly,so much,1
263,coconut milk,very little,1
264,price,wise,1
265,credit card,little higher,1
