rank,noun,adj,count
1,fnb,good,14
2,fnb,great,14
3,fnb,prime,13
4,fnb,excellent,12
5,fnb,very good,8
6,fnb,delicious,8
7,fnb,amazing,7
8,fnb,awesome,7
9,person,great,7
10,fnb,main,7
11,person,very attentive,6
12,service,excellent,6
13,fnb,mashed,6
14,person,attentive,6
15,fnb,tasty,5
16,person,best,5
17,medium,rare,4
18,person,amazing,4
19,price,reasonable,4
20,service,exceptional,4
21,service,impeccable,4
22,fnb,perfect,4
23,person,favorite,4
24,service,good,4
25,place,favorite,4
26,fnb,rare,3
27,gem,hidden,3
28,place,nice,3
29,fnb,worst,3
30,fnb,wonderful,3
31,night,last,3
32,fnb,white,3
33,service,friendly,3
34,place,great,3
35,person,entire,3
36,fnb,bottle-shaped,3
37,fnb,red,3
38,service,amazing,3
39,fnb,bad,3
40,fnb,best,3
41,fnb,fantastic,3
42,fnb,grilled,3
43,dining experience,best,3
44,service,great,3
45,person,excellent,3
46,fnb,absolutely wonderful,3
47,fnb,small,3
48,fnb,entire,3
49,thing,only,3
50,fnb,sour,3
51,time,next,3
52,visit,first,2
53,part,best,2
54,person,soooo nice,2
55,experience,pleasant,2
56,fnb,mediocre,2
57,person,happy,2
58,service,prompt,2
59,person,able,2
60,person,just so-so,2
61,it,nice,2
62,fnb,fresh,2
63,decor,nice,2
64,person,fine,2
65,ambiance,nice,2
66,flavor,great,2
67,fnb,garlic,2
68,onion,red,2
69,fnb,huge,2
70,fnb,superb,2
71,service,superb,2
72,fnb,petite,2
73,price,good,2
74,fnb,not worth,2
75,service,always great,2
76,fnb,green,2
77,fnb,fine,2
78,casino,entire,2
79,person,new,2
80,person,usual,2
81,person,delicious,2
82,fnb,have,2
83,fnb,cook,2
84,medium,perfect,2
85,it,close,2
86,service,fine,2
87,fnb,fabulous,2
88,fnb,other,2
89,fnb,french,2
90,person,other,2
91,pianist,live,2
92,customer service,friendly,2
93,customer service,very professional,2
94,customer service,outstanding,2
95,customer service,better,2
96,top5,better,2
97,star,great,2
98,fnb,large,2
99,service,attentive,2
100,person,friendly,2
101,fnb,warm,2
102,fnb,really good,2
103,fnb,sweet,2
104,work,good,2
105,fnb,filet,2
106,everything,fantastic,2
107,person,have,2
108,fnb,second,2
109,it,good,2
110,quality,same,2
111,fnb,baked,2
112,piano music,live,2
113,fnb,devine,2
114,fnb,creative,2
115,tasting,however not very prime,2
116,tasting,good,2
117,person,wonderful,2
118,person,nice,2
119,chive,sour,2
120,person,good,2
121,year,many,2
122,variety,nice,2
123,fnb,rich,2
124,it,well worth,2
125,something,nice,1
126,Cannery Hotel,nice,1
127,person,terrible,1
128,service,terrible,1
129,restaurant closing,fairly close,1
130,salty,little,1
131,star,overall,1
132,place,really nice,1
133,it,really good,1
134,customer service,great,1
135,person,better,1
136,experience,better,1
137,Sunday,here last,1
138,rib-eye steak,awesome,1
139,deal,pretty awesome,1
140,service,very good,1
141,fnb,most likely,1
142,cut,prime,1
143,price,prime,1
144,cut,most likely,1
145,price,most likely,1
146,it,delicious,1
147,price,delicious,1
148,time,way better,1
149,experience,way better,1
150,fnb,last,1
151,fnb,exceptionally bad,1
152,management,new,1
153,get,new,1
154,feedback,positive,1
155,dining,high,1
156,presentation,nice,1
157,Crab Meat,top,1
158,medium,second,1
159,medium,heavy,1
160,flavor,nice,1
161,order,generous,1
162,order,expect,1
163,average,far above,1
164,make,far above,1
165,comp,partial,1
166,discount,other,1
167,customer need,very attentive,1
168,lighting,perfect,1
169,seating,perfect,1
170,time,first,1
171,place,classy,1
172,clothes,casual,1
173,request,different,1
174,bread basket,good,1
175,be,good,1
176,Veal Oscar Roll,very tasty,1
177,Veal Oscar Roll,pretty unique,1
178,entrée,larger,1
179,fan,big,1
180,fnb,just so-so,1
181,person,very mushroomy,1
182,size,decent,1
183,bowl,rather large,1
184,price,disappointing,1
185,it,meatier,1
186,it,really just more,1
187,crab bisque,really just more,1
188,fnb,so many,1
189,person,already pretty full,1
190,room,little,1
191,fnb,hearty,1
192,it,little,1
193,person,too rich,1
194,steak restaurant,fantastic,1
195,horse radish,right,1
196,money,right,1
197,stuff,good,1
198,everything,good,1
199,kind,different,1
200,home,warm,1
201,beef burger,amazing,1
202,spinach,yummy,1
203,spinach,fresh,1
204,decor,classic,1
205,school service,wonderful,1
206,school service,old,1
207,dining feel,overall,1
208,experience,overall,1
209,dining feel,fine,1
210,experience,fine,1
211,fnb,unknown,1
212,opinion,pricey,1
213,strawberry,fresh,1
214,fnb,spiced,1
215,fnb,watery,1
216,iceberg lettuce,plain,1
217,fnb,blue,1
218,cucumber,seedless,1
219,fnb,seedless,1
220,intent,good,1
221,fnb,complimentary,1
222,restaurant,very nice,1
223,it,top,1
224,service,fabulous,1
225,service,top,1
226,place,most,1
227,place,other,1
228,place,not too salty,1
229,fnb,scrumptious,1
230,place,enough,1
231,person,so thankful,1
232,it,quiet,1
233,star,nice,1
234,star,quiet,1
235,person,always amazing,1
236,house,favorite,1
237,service,always excellent,1
238,fnb,elegant,1
239,steakhouse,perfectly serviceable,1
240,steakhouse,other,1
241,price,reasonably reasonable,1
242,decor,bland-swanky,1
243,couple,boring,1
244,retiree,boring,1
245,couple,married,1
246,retiree,married,1
247,star,extra,1
248,name,stupid,1
249,name,all-caps,1
250,fnb,deconstructed,1
251,fusion,deconstructed,1
252,wine list,decent,1
253,care,good,1
254,person,really rude,1
255,dining experience,overall,1
256,dining experience,good,1
257,pastry,way bigger,1
258,fnb,way bigger,1
259,burn,way bigger,1
260,fnb,separate,1
261,name,big,1
262,fnb,coarse,1
263,kind,same,1
264,kind,cheaper,1
265,truth,good,1
266,truth,not worth,1
267,work,great,1
268,fnb,always delicious,1
269,service,best,1
270,fnb,very small,1
271,time,very small,1
272,money,very small,1
273,performance,really fine,1
274,orchestra,live,1
275,orchestra,12-piece,1
276,New Year,special,1
277,bit,atypical,1
278,fare,normal,1
279,fare,everyday,1
280,offering,fancy,1
281,fnb,fairly high-end,1
282,hit,immediate,1
283,fruit bread,great,1
284,fnb,smooth,1
285,fnb,serve,1
286,hunk,big,1
287,hunk,tasty,1
288,demi-glace,warm,1
289,crab cake,deliberately cold,1
290,array,interesting,1
291,Potatoes,hot,1
292,Potatoes,cheesy,1
293,fnb,glistening,1
294,side,second,1
295,side,fine,1
296,refill,very fast,1
297,refill,iced,1
298,refill,good,1
299,treat,unusual,1
300,name,unusual,1
301,filling,creamy,1
302,filling,cannoli-like,1
303,fnb,crisp,1
304,fnb,upscale,1
305,quality beef,lower,1
306,serving,smaller,1
307,management,indifferent,1
308,Choice,best,1
309,Choice,not prime,1
310,item,other,1
